Date,Video ID,Title
2020-05-08,NuonD5G28L8,Closing remarks - GitHub Satellite 2020
2020-05-08,pYzfGaLTqC0,Finding security vulnerabilities in JavaScript with CodeQL - GitHub Satellite 2020
2020-05-08,nvCd0Ee4FgE,Finding security vulnerabilities in Java with CodeQL - GitHub Satellite 2020
2020-05-08,PYsZeFTdJ50,Continuous delivery with GitHub Actions - GitHub Satellite 2020
2020-05-08,cyh8DU2QPzg,Continuous integration with GitHub Actions - GitHub Satellite 2020
2020-05-08,wcxOJq9YemE,Building GitHub integrations with webhooks and REST- GitHub Satellite 2020
2020-05-08,l3g41dGObJ4,Building automations with GitHub Apps and GraphQL - GitHub Satellite 2020
2020-05-08,ECdxifljjE4,ART MACHINES: fostering digital creativity through live coding and ML - GitHub Satellite 2020
2020-05-07,dy2eYaNxaQc,How to get from idea to contribution in minutes - GitHub Satellite 2020
2020-05-08,U8NpT_myO9A,Algorithmic Positivity Symphony - GitHub Satellite 2020
2020-05-08,5LlTto6NIFA,The Weird Algorithm - GitHub Satellite 2020
2020-05-08,UKVNmHCxwk4,Building a Fantasy Game Console - GitHub Satellite 2020
2020-05-08,sRLWIAPaiRI,Creative Coding in p5.js - GitHub Satellite 2020
2020-05-08,Qyoz5p6WZUg,Frontiers of neural arts - GitHub Satellite 2020
2020-05-08,0OHzS5lOlpo,Creative Machine Learning with RunwayML - GitHub Satellite 2020
2020-05-08,QD_frigh5ak,Livecoded Compositions - GitHub Satellite 2020
2020-05-08,-8YgwVJQlYw,Coding Augmented Reality Live - GitHub Satellite 2020
2020-05-08,-_9TliNB8k0,Lockdown Algorave - GitHub Satellite 2020
2020-05-08,nQRRVR3Usag,HIPERSONICA - GitHub Satellite 2020
2020-05-08,6ADAoz34KHU,Hiperfragmentación - GitHub Satellite 2020
2020-05-08,7AYAKxLi7Mw,Ponicode AI Rap Battle - GitHub Satellite 2020
2020-05-08,dJbMImgvnKU,Sam Aaron - GitHub Satellite 2020
2020-05-07,T6sW1Dk9B4E,What every GitHub user should know about VS Code - GitHub Satellite 2020
2020-05-07,7P9JDf4Lc0Y,Using GitHub Actions and HashiCorp Terraform - GitHub Satellite 2020
2020-05-07,FOLCaZ9CbzA,Putting GitHub at your fingertips - GitHub Satellite 2020
2020-05-07,0SAtaNjdViI,A lap around GitHub One - GitHub Satellite 2020
2020-05-07,rOaShvTmZFk,Accelerating cloud native deployment with GitHub Actions and AWS - GitHub Satellite 2020
2020-05-07,UVV26xOgdP0,Building Stripe’s remote hub: scaling distributed teams - GitHub Satellite 2020
2020-05-07,-2UgL63_yB4,Ship it with GitHub Actions and GitHub Packages - GitHub Satellite 2020
2020-05-07,fZKQI-ER6xw,Defenders guide to cloud native infrastructure security - GitHub Satellite 2020
2020-05-07,SsP8UEF8uRM,Open source for good: COVID-19 Responses - GitHub Satellite 2020
2020-05-07,GtLZp6DbcE4,"Dependency hell - Or, Developers' perception of software dependencies - GitHub Satellite 2020"
2020-05-07,468tirG434E,The JavaScript coders guide to getting more from GitHub and NPM - GitHub Satellite 2020
2020-05-07,kCo0OJZHRX8,Credential mitigation in large-scale organizations - GitHub Satellite 2020
2020-05-07,ZLQzMSItzcU,Save precious time with GitHub Actions - GitHub Satellite 2020
2020-05-07,58N0_0HCDPE,Stopping vulnerabilities at the source - GitHub Satellite 2020
2020-05-07,L618Pp0n7us,Opening Keynote - GitHub Satellite 2020
2020-05-07,TwA6zBw8SJ8,Taking collaboration beyond the code in GitHub - GitHub Satellite 2020
2020-05-07,XwKTUji5HtY,Securing the software supply chain together - GitHub Satellite 2020
2020-05-07,Y_mjvrX7u-w,Why innersource is a critical component of FOSS sustainability - GitHub Satellite 2020
2020-05-07,TG_L1x5bM5M,Top 10 tips for project maintainers - GitHub Satellite 2020
2020-05-07,EcmqlVjZXNw,Fast & Security - GitHub Satellite 2020
2020-05-07,lP-VUmkbq0w,Catch bugs & vulnerabilities with the SonarCloud Action  - GitHub Satellite 2020
2020-05-07,TGjVVpGLOGw,Saved replies for better and faster communication - GitHub Satellite 2020
2020-05-07,cjzGxDEFcu8,Taking issues from good to great with a label style guide - GitHub Satellite 2020
2020-05-07,hkEMANziAvA,Training ML models directly from GitHub - GitHub Satellite 2020
2020-05-07,07FfdeekVqI,"Code risk, compliance and security action for PRs on Node.js - GitHub Satellite 2020"
2020-05-07,PqA5Cnf7T4w,Avoid Git-blame with suspect commits - GitHub Satellite 2020
2020-05-07,afkI-8jA1GU,DevOps tips for GitHub apps: tweaks for staging apps - GitHub Satellite 2020
2020-05-07,edhL-XL0oOI,Cloud security best practices with CloudFormation and GitHub Actions - GitHub Satellite 2020
2020-05-07,uNX3Rty_QzA,Implementing terraform security best practices using Github Actions - GitHub Satellite 2020
2020-05-07,-xrFNFby7hc,Async workflows with repository dispatch - GitHub Satellite 2020
2020-05-07,qdgnRct0_nw,GitHub Satellite Virtual 2020 - Play
2020-05-07,FhZTPM9ysWk,GitHub Satellite Virtual 2020 - Work
2020-04-30,hP9pE-OKwSA,Neil Matatall: Managing content security policy and samesite cookies
2020-04-30,aY5pIuxRixs,Alyssa Miller: DevSecOps compatible threat modeling
2020-04-30,a1qrjtrmOj0,Stefan Edwards and Robert Tonic: Go-ing for an evening stroll
2020-04-30,Eos48e0vSXM,Andrea Brancaleoni - InQL: GraphQL Security Testing Made Easy
2020-01-25,AefLSAhXtBY,"Github Security Meetup  Jan 22, 2020 - San Francisco"
2020-01-15,zDNDTCG8Oko,GitHub Game Off 2019 Highlights
2019-12-14,0ahRkhrOePo,Advanced GitHub Actions: workflows for production grade CI/CD - GitHub Universe 2019
2019-12-17,BctzNj1RcPU,Changing work culture through documentation - GitHub Universe 2019
2019-12-17,oFjffeGcbV4,Driving ethical change for AI across your organization - GitHub Universe 2019
2019-12-17,GayKuDpi97o,Don't be a robot: Automating workflows at scale - GitHub Universe 2019
2019-12-09,CFvwIX-gjSI,Panel: Open source in Africa - GitHub Universe 2019
2019-12-17,D0p572DrNfI,Building an open source community from the ground up - GitHub Universe 2019
2019-12-17,GCLgdOiPA6o,The city guide to open source - GitHub Universe 2019
2019-12-16,iCOmzYEGavo,Deep dive into GitHub's newest features - GitHub Universe 2019
2019-12-16,YoWkuFzEYFs,A data-driven look at practices behind exemplar open source projects - GitHub Universe 2019
2019-12-16,04TTRJArpVw,Ship happens: shipping pull requests at scale with the merge queue - GitHub Universe 2019
2019-12-16,Ll50l3fsoYs,Machine learning operations with GitHub Actions and Kubernetes - GitHub Universe 2019
2019-12-16,i5pIszu9MeM,Advanced patterns for GitHub's GraphQL API
2019-12-16,tg_iTZKhpeA,Panel: Women in open source - GitHub Universe 2019
2019-12-16,-pyqoLI4yfU,Social sector and open source - GitHub Universe 2019
2019-12-14,oYDgVKPRmAs,GitHub Archive Program Partner Panel - GitHub Universe 2019
2019-12-15,bZwlD6rh3FA,Secure container development workflows with Anchore and GitHub Actions- GitHub Universe 2019
2019-12-09,4hBtFYNnBfg,State of the Octoverse - GitHub Universe 2019
2019-12-15,lf742-K_dAY,Panel: Embracing open source in risk-averse organizations - GitHub Universe 2019
2019-12-15,R9JvD7hzJBg,Applying the GitHub security development lifecycle to your project - GitHub Universe 2019
2019-12-15,DDaJHR0DngE,Source code consolidation at Expedia Group - GitHub Universe 2019
2019-12-15,sBvEPKdA540,What does it take to transform a federal agency to a product-focused enterprise? -GitHub Universe 19
2019-12-15,JjWptlLRX4A,"Going global: Challenges, considerations, and tips - GitHub Universe 2019"
2019-12-15,yN2etNsLUfw,How visualization helps developers - GitHub Universe 2019
2019-12-14,MI-bZ-z1X7o,The modern mainframe: GitHub for social coding and mainframe app development - GitHub Universe 2019
2019-12-14,KlO5Ksk7baQ,Building and deploying modern websites and apps - GitHub Universe 2019
2019-12-14,4wbxxzDp98c,Insights into GitHub Enterprise: How IBM tracks social coding - GitHub Universe 2019
2019-12-14,ihul33Y7DUk,Agility and security: Navigating the enterprise balancing act - GitHub Universe 2019
2019-12-14,5bvafq4zSUo,Actions Packaged: Using GitHub Actions and GitHub Package Registry - GitHub Universe 2019
2019-12-14,EOy7-lhPV5g,The code behind cars: How GitHub turned Ford into a software company - GitHub Universe 2019
2019-12-14,cRJZldsHS3c,The elusive quest to measure developer productivity - GitHub Universe 2019
2019-12-14,Y6NoxXD3Js4,Taking GitHub to go - GitHub Universe 2019
2019-11-15,7TuUkhJ4wG0,Day 1 Keynote Highlights - GitHub Universe 2019
2019-11-14,9i-nvqPe5Rs,GitHub for Mobile - GitHub Universe 2019
2019-11-15,afcqKcs1zMo,Improve your daily experience - GitHub Universe 2019
2019-11-15,1sQ-m-NHidw,Supporting the Community - GitHub Universe 2019
2019-11-15,fRqaN9Nhwjs,From code to cloud - GitHub Universe 2019
2019-11-15,jImkk1BxGa4,The state of Open Source - GItHub Universe 2019
2019-11-13,fzI9FNjXQ0o,GitHub Arctic Code Vault
2019-11-15,VnaK_ONmtC4,Day 2 Keynote - GitHub Universe 2019
2019-11-13,9EoNqyxtSRM,Day 1 Keynote - GitHub Universe 2019
2019-11-04,e_zhHQXTwVo,Celebrating the developers of GitHub Sponsors
2019-10-17,wXeI_019MDo,ENGIE Digital : Accelerating with innersource
2019-09-24,STWzZsg973o,Bring innovation to work with GitHub Enterprise
2019-09-18,ekHXeRUldE0,Spotlight on secure software development - Live from GitHub HQ
2019-08-08,E1OunoCyuhY,GitHub Actions - Now with built-in CI/CD! Live from GitHub HQ
2019-07-01,gQJIOZ8_Hug,GitHub Satellite 2019 Highlights
2019-06-17,RtZdbZiPeK8,Pull Panda joins GitHub!
2019-05-30,tHpPg1J55PQ,Keynote Highlights - GitHub Satellite 2019
2019-05-29,_RQBNCOU0RM,In the Shadow of the Black Hole - GitHub Satellite 2019
2019-05-31,bPsvHe-F9SA,Open source in the enterprise - GitHub Satellite 2019
2019-05-31,nhA2FcCqQVE,Open source for good: the people and projects driving change - GitHub Satellite 2019
2019-05-31,O9ZSoralu0E,Tribes at ENGIE Digital: when shiny tools don't make it all - GitHub Satellite 2019
2019-05-30,16gRNL8kCwA,Innersource: open source collaboration patterns beyond public FOSS projects - GitHub Satellite 2019
2019-05-30,2psQDViMGlc,GitHub as a self-sustaining product for large-scale environments - GitHub Satellite 2019
2019-05-30,bFNqaoHSUIQ,Maintaining the maintainers: supporting open source tools - GitHub Satellite 2019
2019-05-29,8IM85gmpVVQ,Continuous deployment at Skyscanner - GitHub Satellite 2019
2019-05-29,Kg3k_K65J5o,Intersource is GitHub culture and open source principles - GitHub Satellite 2019
2019-05-25,E5GDI__r_Is,The interconnected community - GitHub Satellite 2019
2019-05-25,e01LOzSqDCI,New ways to keep your code secure - GitHub Satellite 2019
2019-05-25,P2Goi3QRMmo,Build like an open source community with GitHub Enterprise - GitHub Satellite 2019
2019-05-25,FYkBA9epUEk,A new way to contribute to open source - GitHub Satellite 2019
2019-05-25,4LDgzgfX0Us,Continuous Integration and Deployment: Five Lessons Learned - GitHub Satellite 2019
2019-05-27,HpqM7kL_ACY,Open source security: who’s responsible? - GitHub Satellite 2019
2019-05-27,OVizrLvi77U,"Software security, trust, and public policy - GitHub Satellite 2019"
2019-05-25,zxwJOnkxJLA,Running GitHub Enterprise at scale in your organization - GitHub Satellite 2019
2019-05-25,n47rCa9dxf8,There and back again: Through the realms of open source software - GitHub Satellite 2019
2019-05-25,T9QCKPoaQJ0,Open source security: advisories and workflows to keep open source secure - GitHub Satellite 2019
2019-05-25,sGC2rwOiaWc,Keynote - GitHub Satellite 2019
2019-05-23,U2eWLb-LD44,Open source: an interconnected community
2019-05-10,N_-Cu9_2YAA,Introducing GitHub Package Registry
2019-04-27,okcIiY_wjoA,Game On—what was it like to make games during the 80's?
2019-03-14,f_G1vwynxTg,"Gitbase, SQL interface to Git repositories - Git Merge 2019"
2019-03-11,Gna85Tk4JOw,The future of free software - Git Merge 2019
2019-03-14,wfKXJNbAcQ8,Tales in scalability: how Google has seen users break Git - Git Merge 2019
2019-03-14,J_RekbDzWrE,"The what, how and why of scaling repositories - Git Merge 2019"
2019-03-14,qHERDFUSa14,Bridging the gap: transitioning Git to SHA-256 - Git Merge 2019
2019-03-13,8soFbJkbdFQ,Git protocols: still tinkering after all these years? - Git Merge 2019
